member_0,member_1,member_2,member_3,member_4
7,9,4,7,6
7,9,0,7,5
6,9,9,3,6
7,9,0,8,5
6,0,7,7,5
6,0,0,7,6
6,0,9,7,6
6,9,9,7,6
7,9,9,7,5
8,9,7,7,5
6,9,6,7,5
6,9,5,7,5
7,9,0,7,5
6,9,8,7,5
6,0,0,7,6
6,0,5,7,5
7,9,0,7,5
7,9,0,7,5
6,0,0,7,5
6,0,9,7,6
6,0,1,7,6
6,0,0,7,6
8,0,1,7,6
6,0,6,6,5
7,9,9,7,5
8,0,0,7,5
7,9,1,7,5
6,0,0,7,5
6,0,9,7,6
6,0,0,7,5
7,9,0,7,5
6,0,9,7,5
6,0,0,7,7
6,0,6,7,6
6,0,9,7,6
6,0,0,7,5
7,9,9,7,5
7,9,0,7,5
7,9,0,7,5
6,0,6,7,6
7,9,0,7,5
7,9,9,7,5
6,0,0,7,5
6,0,0,7,6
8,0,0,7,5
6,0,9,7,5
7,9,0,8,5
6,0,0,7,6
7,9,1,7,6
7,9,9,7,5
6,0,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
8,9,0,7,5
8,9,0,3,5
6,0,9,7,5
7,9,0,7,5
6,0,0,7,6
7,9,1,7,5
6,0,6,7,5
7,9,0,7,5
7,9,8,7,5
7,9,6,7,5
7,9,0,7,5
7,9,9,8,5
7,9,5,7,5
6,0,9,7,5
7,9,8,7,5
6,9,6,7,5
7,9,0,7,5
7,9,0,7,5
7,9,9,3,5
7,9,1,7,5
6,0,7,7,5
6,9,5,7,5
7,9,9,7,5
6,9,6,7,5
7,9,9,7,5
7,8,1,8,5
6,0,9,7,5
7,7,9,8,5
8,0,0,7,5
7,9,6,7,5
7,9,0,8,5
6,0,0,7,5
7,9,0,7,5
7,9,0,7,5
7,9,9,7,5
8,0,1,8,6
6,0,0,7,5
7,9,0,7,5
7,8,0,7,5
6,0,0,7,5
6,9,9,7,5
7,9,0,7,5
7,9,9,7,5
8,0,9,7,5
7,9,0,7,5
7,9,9,7,5
6,0,9,7,5
8,0,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,8,7,5
6,0,0,7,6
6,0,8,7,5
7,7,9,8,5
7,9,1,7,5
6,0,0,7,6
8,0,0,7,5
7,9,9,7,5
6,9,6,7,5
8,0,1,7,6
8,0,0,7,6
6,9,9,7,5
7,9,0,7,5
7,9,0,8,5
7,9,0,7,5
6,0,7,7,6
6,9,5,7,5
6,0,9,7,6
7,9,0,7,5
6,0,0,7,5
7,9,5,7,5
7,9,9,7,5
8,0,0,7,5
7,9,8,7,5
6,0,0,7,5
7,9,9,7,5
7,9,9,7,5
6,9,5,7,5
7,9,0,7,5
7,9,9,7,5
7,9,9,7,5
8,0,0,7,5
6,0,9,7,6
6,0,0,7,5
6,9,0,7,5
6,0,0,7,5
6,0,6,7,5
7,9,1,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
6,9,7,7,5
7,9,5,7,5
7,9,0,7,5
6,0,0,7,6
7,9,9,7,5
7,9,2,7,5
6,9,5,7,5
6,0,0,7,5
6,9,9,7,5
7,9,0,7,5
7,9,9,7,5
7,9,0,7,5
6,9,0,7,5
7,9,9,7,5
6,0,9,7,6
6,0,9,7,6
7,9,0,7,5
7,9,9,8,5
6,0,9,7,5
6,0,0,7,6
7,9,2,7,5
6,0,6,7,5
7,9,0,7,5
6,9,9,7,5
8,9,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
6,9,5,7,5
7,9,9,8,5
7,9,0,7,5
6,0,0,7,5
7,9,9,7,5
6,0,8,7,6
7,7,9,8,5
6,0,0,7,6
6,0,5,7,5
6,0,6,6,5
6,0,0,7,5
7,9,0,7,5
6,0,0,7,5
6,0,0,7,5
6,0,9,7,6
6,0,0,7,5
6,0,9,7,5
6,0,0,7,6
7,9,0,7,5
6,9,6,7,5
6,9,0,7,5
6,0,0,7,6
6,0,9,7,6
7,9,0,7,5
6,0,7,7,5
8,0,1,7,5
6,9,8,7,5
7,9,0,7,5
7,9,6,7,5
6,0,0,7,6
6,9,9,7,5
7,9,0,7,5
7,9,9,7,5
7,9,0,8,5
7,8,9,7,5
7,8,0,7,5
6,0,6,7,5
6,0,0,7,5
6,0,9,7,5
7,9,0,7,5
6,0,0,7,6
7,9,0,8,5
7,9,0,7,5
7,9,0,7,5
6,0,9,7,6
6,0,0,7,6
7,9,0,7,5
6,9,6,7,5
7,9,9,7,5
6,0,0,7,6
6,0,7,7,5
7,9,0,7,5
6,0,5,7,6
7,9,7,7,5
6,0,0,7,6
6,9,9,7,5
7,9,0,7,5
6,9,6,8,5
7,9,0,7,5
7,9,9,7,5
6,0,0,7,5
7,9,9,7,5
7,9,0,7,5
7,9,0,7,5
6,0,6,7,6
8,0,0,7,5
7,9,9,7,5
7,9,0,8,5
6,0,0,7,6
7,9,9,7,5
7,9,0,7,5
6,9,9,7,5
8,0,2,7,5
8,0,0,7,5
6,0,5,7,5
7,9,5,7,5
6,0,0,7,6
8,0,0,7,5
6,9,6,7,5
6,0,0,7,5
6,9,0,7,5
8,0,1,7,5
6,0,9,7,5
6,0,7,7,5
7,9,0,5,5
6,0,6,7,5
6,0,7,7,5
6,0,0,7,5
7,9,9,7,5
6,0,9,7,5
7,7,9,7,5
7,9,0,7,5
7,9,0,7,5
6,9,6,7,5
6,9,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,8,6
7,9,1,7,5
7,9,9,7,5
7,8,1,8,5
7,9,0,7,5
6,9,9,8,6
7,9,1,7,5
7,9,0,7,5
7,5,9,7,5
7,9,0,7,5
8,0,9,7,5
7,9,9,7,5
7,9,0,7,5
6,0,0,7,5
6,0,0,7,6
6,0,8,7,5
7,9,5,7,5
6,0,0,7,6
6,0,7,7,6
6,9,6,7,5
7,9,0,7,5
6,9,5,7,5
6,9,6,7,5
7,9,9,7,5
7,9,0,7,5
6,0,0,7,5
8,0,0,7,5
6,0,0,7,5
7,9,1,7,5
6,9,6,7,5
7,9,0,7,5
6,0,9,7,5
7,9,0,7,5
7,9,9,7,5
6,9,9,7,5
7,9,2,7,5
6,9,7,7,5
6,0,6,7,5
7,9,9,7,5
6,0,0,7,5
7,9,0,7,5
8,9,0,7,5
8,0,0,7,5
7,9,0,7,5
6,0,0,7,5
8,0,1,7,5
6,0,9,7,6
6,0,9,7,5
7,9,2,7,5
7,9,1,7,5
7,9,0,7,5
6,0,0,7,5
7,9,0,7,5
6,0,9,7,5
6,9,5,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
6,0,4,7,5
7,9,0,4,5
6,0,9,7,6
7,9,0,7,5
6,0,8,7,6
6,9,6,7,5
7,9,0,7,5
7,9,0,7,5
6,0,0,7,6
7,9,0,7,5
6,9,6,7,5
6,0,9,7,5
6,0,0,7,6
6,9,9,3,5
6,9,6,7,5
6,9,9,7,5
6,0,5,6,5
6,0,7,7,5
7,7,9,7,5
7,9,9,7,5
6,0,0,7,5
7,9,9,7,5
7,9,9,7,5
7,9,9,7,5
7,9,9,8,5
6,0,9,7,5
7,9,0,7,5
6,0,6,7,6
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
6,9,5,7,5
6,9,9,7,5
7,0,0,7,5
6,0,9,7,5
7,9,6,7,5
6,0,1,7,6
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
6,0,9,7,5
6,0,0,7,6
6,0,8,6,5
6,9,7,7,5
6,0,8,7,6
6,0,0,7,5
6,0,0,7,5
6,0,6,7,5
7,9,9,7,5
6,0,6,7,5
6,9,6,8,5
6,0,0,7,6
7,9,0,8,5
6,0,6,7,5
7,9,0,7,5
8,0,0,7,5
6,0,9,7,6
7,9,9,7,5
7,9,0,7,5
6,9,9,7,5
6,0,0,7,5
7,9,0,7,5
6,9,6,7,5
6,9,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,9,7,5
6,0,0,7,6
6,0,9,7,5
6,0,6,7,5
6,0,7,7,5
6,0,5,7,5
6,9,5,7,5
6,0,9,7,6
7,9,1,7,5
6,0,0,7,5
7,9,0,7,5
6,0,0,7,6
7,9,9,7,5
6,0,8,7,6
7,9,0,7,5
6,0,6,7,5
7,9,0,7,5
7,9,0,7,5
6,0,7,7,5
8,0,1,7,5
7,9,0,7,5
7,9,6,7,5
6,0,7,7,5
7,9,0,7,5
6,0,9,7,5
8,0,1,7,5
7,9,0,7,5
7,9,9,7,5
6,0,7,7,6
7,9,0,7,5
7,9,0,7,5
7,9,6,7,5
7,9,0,7,5
6,0,0,7,6
7,9,0,7,5
7,9,0,7,5
6,9,5,7,5
6,9,9,7,5
8,0,9,7,5
7,9,9,7,5
8,9,9,7,5
7,9,0,7,5
8,0,0,7,5
7,9,7,7,5
6,0,9,7,6
6,0,7,7,5
7,9,9,7,5
6,0,8,7,5
7,9,0,7,5
7,9,6,7,5
6,0,0,7,5
7,9,0,7,5
7,9,0,7,5
6,0,0,7,6
7,9,9,7,5
7,9,0,7,5
6,0,0,7,5
7,9,0,7,5
8,9,0,7,5
6,0,0,7,6
6,9,9,7,5
7,0,3,7,7
7,9,9,7,5
7,9,9,7,5
7,9,2,7,5
6,0,0,7,5
6,0,9,7,6
8,0,1,7,5
6,0,0,7,6
7,9,4,7,5
7,9,0,7,5
6,9,5,7,5
8,0,0,8,6
8,0,0,7,5
7,9,4,7,5
6,0,7,7,5
7,9,0,7,5
7,9,0,7,5
6,0,0,7,5
6,9,9,7,5
7,9,7,7,5
7,6,0,7,5
6,0,9,7,5
7,9,7,8,5
7,9,0,7,5
7,9,0,7,5
7,4,9,7,5
7,9,9,7,5
7,9,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
6,0,9,7,6
7,9,9,7,5
6,0,0,7,6
6,0,7,7,6
6,0,9,7,6
7,9,9,7,5
7,0,0,7,5
6,0,0,7,6
6,0,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
7,9,9,7,5
6,0,0,7,5
8,0,9,7,5
7,9,1,7,5
7,9,0,7,5
6,0,9,7,5
7,9,7,7,5
6,0,0,7,5
8,0,0,7,5
7,9,0,7,5
6,9,9,7,5
7,9,9,7,5
6,0,9,7,5
6,0,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
6,0,7,7,5
7,9,0,7,5
7,9,9,7,5
7,9,9,7,5
6,0,0,7,6
6,0,0,7,5
6,0,8,7,7
6,0,0,7,5
6,0,0,7,6
7,9,0,7,5
7,9,0,7,5
8,9,2,7,5
7,9,9,7,5
7,9,9,7,5
8,9,0,7,5
8,9,7,7,5
7,9,0,7,5
6,0,0,7,6
6,0,0,7,6
7,9,0,7,5
7,9,8,7,5
7,9,0,7,5
6,0,9,7,6
6,0,6,7,5
6,0,0,7,5
7,9,9,7,5
6,0,9,7,5
6,0,0,7,6
7,9,0,7,5
6,9,9,7,5
7,9,0,7,5
6,0,9,7,5
7,9,0,7,5
6,0,0,7,6
6,9,9,7,5
7,9,0,7,5
7,7,9,8,5
6,0,7,7,6
6,0,0,7,6
7,9,0,7,5
7,9,8,8,5
6,0,0,7,5
7,9,9,7,5
7,9,1,7,5
7,9,0,7,5
6,0,0,7,5
7,5,9,8,5
6,0,9,7,6
8,0,2,7,5
7,9,9,7,5
7,9,1,8,5
6,0,8,7,5
6,0,0,7,6
6,0,7,7,5
7,9,9,7,5
7,9,0,7,5
7,9,9,7,5
7,9,0,7,5
8,9,0,7,5
6,0,9,7,6
6,9,8,7,5
6,0,6,7,5
7,9,2,7,5
6,0,6,7,5
8,9,2,8,5
7,9,0,7,5
7,9,1,7,5
7,9,7,7,5
7,9,1,7,5
7,9,0,7,5
6,0,0,7,6
8,0,1,7,5
7,9,9,7,5
6,0,9,7,6
6,0,3,9,7
6,9,9,7,5
6,0,8,7,5
6,0,0,7,6
7,9,1,7,5
7,9,0,7,5
7,9,6,7,5
7,9,0,7,5
6,9,5,7,5
7,9,0,7,5
6,0,9,7,5
6,0,0,7,5
7,9,9,6,5
6,0,0,7,6
6,9,6,7,5
7,9,0,7,5
6,0,9,7,6
7,9,5,7,5
7,9,9,7,5
6,0,0,7,6
8,0,1,7,5
8,0,9,7,5
6,0,9,7,6
6,0,0,7,5
7,9,0,7,5
6,0,0,7,6
6,0,9,7,6
6,0,0,7,5
7,9,6,7,5
6,9,8,7,5
7,5,0,9,5
7,9,0,7,5
7,9,9,7,5
7,7,0,7,5
7,9,0,7,5
6,0,0,7,5
6,0,0,7,6
6,9,9,7,5
6,0,8,7,5
6,0,5,7,5
7,9,0,7,5
7,9,0,7,5
7,9,2,7,5
6,0,9,7,5
8,0,0,7,5
7,9,0,7,5
7,9,0,7,5
6,9,6,7,5
6,0,6,7,5
6,9,8,7,5
7,9,0,7,5
6,9,9,7,5
6,0,0,7,6
7,9,8,7,5
6,9,9,7,5
7,9,0,7,5
7,9,9,7,5
6,9,9,7,5
7,9,6,7,5
7,9,0,7,5
7,9,1,7,5
6,9,6,7,5
6,0,9,7,6
7,9,0,7,5
7,9,0,7,5
6,0,9,7,5
7,9,9,7,5
6,9,7,7,5
8,0,1,7,5
7,9,0,7,5
7,9,9,7,5
7,9,0,7,5
7,9,0,7,5
6,0,5,7,5
6,0,8,7,5
7,9,7,7,5
6,0,9,7,5
6,0,0,7,5
8,0,2,7,5
7,9,0,7,5
7,9,9,7,5
7,9,1,7,5
8,0,0,7,6
6,0,9,7,6
6,0,9,7,5
7,9,9,7,5
7,9,0,7,5
8,9,0,7,5
7,9,9,7,5
6,0,9,7,5
6,0,1,7,6
8,0,0,7,5
6,0,6,7,5
7,9,9,5,5
6,9,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
6,0,0,7,5
7,7,9,7,5
7,9,0,7,5
6,0,0,7,6
6,9,5,7,5
6,0,0,7,6
7,9,0,7,5
6,0,1,7,6
7,9,9,7,5
6,9,0,7,5
7,0,0,7,5
6,0,9,7,5
6,0,8,7,5
7,9,0,7,5
7,9,0,7,5
6,9,6,7,5
6,0,8,7,5
6,0,9,7,5
6,0,9,7,6
8,0,0,7,5
7,9,0,7,5
7,9,0,7,5
6,0,6,7,5
7,9,2,7,5
8,9,9,7,5
7,9,9,7,5
7,9,0,7,5
8,9,9,7,5
6,0,1,7,6
6,0,9,7,6
6,0,9,7,5
7,9,9,7,5
7,9,0,7,5
6,0,0,7,5
7,9,9,7,5
7,9,5,7,5
6,0,9,7,5
7,0,0,7,5
7,9,0,7,5
6,0,9,7,6
7,9,9,7,5
6,9,6,7,5
6,0,0,7,6
8,0,9,7,5
6,0,7,7,5
6,0,4,7,5
7,4,0,7,5
8,0,0,7,5
7,9,0,9,5
7,9,9,7,5
7,9,9,7,5
6,0,9,7,6
7,9,0,7,5
6,0,5,6,5
7,9,0,7,5
6,9,0,7,5
7,9,9,7,5
7,9,0,7,5
6,9,9,7,5
8,0,0,7,5
8,0,0,7,5
6,0,9,7,6
7,9,9,8,5
6,0,1,7,6
6,0,9,7,6
7,9,0,7,5
7,9,9,7,5
6,0,9,7,6
6,0,0,7,5
7,9,0,7,5
6,0,0,7,6
6,0,0,7,5
7,4,9,8,5
6,0,0,7,5
6,9,9,7,5
8,9,0,7,5
6,0,0,7,6
6,0,7,7,5
6,0,7,7,5
7,9,0,7,5
7,9,0,7,5
6,0,9,7,5
6,0,0,7,5
8,0,1,7,5
6,0,0,7,5
6,0,9,7,5
6,9,9,7,5
8,0,0,7,5
7,9,0,8,6
6,9,0,7,5
7,9,0,7,5
8,0,0,7,5
7,9,9,7,5
6,0,9,7,5
7,9,9,7,5
8,9,0,7,5
7,9,6,7,5
6,0,1,7,6
7,9,0,7,5
6,9,6,7,5
6,0,9,7,5
7,9,0,7,5
6,0,9,7,5
7,9,9,7,5
7,9,9,7,5
7,9,2,7,5
6,0,9,7,6
7,9,0,7,5
7,9,0,7,5
6,0,4,7,6
6,9,9,7,5
6,0,8,7,5
7,9,9,7,5
7,9,9,7,5
7,9,0,7,5
7,9,0,7,5
7,9,0,7,5
6,9,9,7,5
8,0,0,7,5
6,8,6,7,5
7,9,9,7,5
7,9,2,7,5
7,9,0,7,5
6,0,0,7,6
7,9,0,7,5
6,0,8,7,5
7,9,0,7,5
7,9,9,7,5
7,9,9,7,5
7,9,9,7,5
7,9,9,7,5
7,9,9,7,5
7,9,9,7,5
7,9,0,7,5
7,9,0,7,5
6,9,9,7,5
7,9,9,7,5
7,8,9,7,5
6,0,1,7,5
6,9,6,7,5
8,9,9,7,5
7,9,0,7,5
7,9,6,7,5
7,9,0,7,5
7,9,0,7,5
6,0,2,7,6
6,0,0,7,6
7,9,0,7,5
6,0,9,7,5
6,9,6,7,5
6,0,6,7,5
6,0,0,7,6
6,0,8,7,5
7,9,0,7,5
6,0,0,7,5
6,0,0,7,6
7,9,0,7,5
7,9,0,7,5
8,9,7,7,6
7,9,9,7,5
6,0,0,7,6
7,9,5,7,5
7,9,2,7,5
6,0,7,7,5
6,0,9,7,5
6,9,8,7,5
6,0,0,7,6
7,9,0,7,5
7,9,9,7,5
6,0,7,7,5
7,9,1,7,5
6,0,9,7,5
8,9,0,7,5
6,0,9,7,6
7,9,6,7,5
6,9,6,7,5
7,9,0,7,5
8,0,0,7,5
7,9,2,7,5
7,9,0,7,5
7,9,0,7,5
6,0,1,7,6
7,9,1,7,5
7,9,0,7,5
7,9,0,7,5
7,9,9,7,5
7,9,5,7,5
8,9,0,7,5
7,9,0,8,5
7,9,9,8,5
7,9,9,7,5
6,0,9,7,5
6,0,9,7,5
6,0,5,7,5
7,9,0,8,5
6,9,0,3,5
7,9,9,7,5
6,0,6,7,5
7,9,0,7,5
7,9,9,7,5
7,9,0,7,5
6,0,0,7,6
7,9,9,7,5
6,9,9,7,5
7,9,0,7,5
7,9,9,7,5
7,9,0,7,5
6,9,5,7,5
6,9,9,7,5
7,9,0,7,5
7,9,6,7,5
6,0,9,7,5
7,9,9,7,5
7,9,7,7,5
6,0,8,7,5
6,0,6,7,5
7,9,0,7,5
7,9,5,7,5
8,0,0,7,6
6,0,0,7,6
6,0,0,7,6
6,0,9,6,6
6,0,7,7,5
6,0,0,7,5
7,5,0,7,5
8,9,2,7,5
7,9,0,7,5
7,9,0,7,5
7,9,5,7,5
6,0,0,7,6
6,9,8,7,5
