member_0,member_1,member_2,member_3,member_4
0,9,7,9,7
0,0,7,4,8
9,6,6,7,9
9,0,6,3,4
0,0,7,4,4
9,0,7,7,4
0,9,7,9,7
0,9,7,9,7
9,0,7,6,4
0,0,7,4,4
0,6,6,4,0
9,6,7,7,9
0,0,6,3,4
0,9,7,0,0
9,7,7,4,9
0,0,7,7,8
9,0,7,7,9
9,7,6,0,9
9,0,6,6,9
0,9,7,0,0
0,0,6,3,4
9,7,7,7,9
9,0,7,7,8
9,0,6,7,9
9,7,7,5,9
0,9,7,9,7
0,0,7,3,4
9,9,6,9,4
0,6,6,4,1
0,9,7,8,7
0,0,6,3,4
0,0,7,7,8
9,6,7,7,9
0,0,7,3,4
0,0,7,3,1
9,9,7,7,9
9,6,6,7,9
0,6,6,4,0
9,0,6,3,4
0,7,7,0,4
9,6,6,7,9
9,9,7,8,9
0,9,7,9,7
9,7,7,0,9
0,0,7,4,4
0,6,6,4,0
9,0,7,7,9
9,0,6,6,9
9,6,7,7,9
0,9,7,6,4
0,0,7,4,4
0,0,7,4,4
0,0,7,4,4
0,0,7,3,4
9,0,6,7,9
0,0,7,4,4
9,6,7,7,9
0,0,7,7,8
0,0,7,7,8
9,0,7,7,8
0,0,7,7,8
9,0,6,7,9
9,0,7,7,8
0,0,7,7,8
0,0,7,7,4
9,0,7,7,9
9,9,7,4,4
0,0,7,4,4
0,9,7,0,0
0,0,7,4,4
9,7,7,9,5
0,0,7,3,4
9,6,6,7,9
0,0,7,7,8
0,0,7,4,8
0,0,7,7,8
0,9,7,9,7
9,0,6,3,4
0,9,7,0,0
0,9,7,9,7
0,0,7,7,4
0,0,7,4,8
9,7,7,7,5
0,6,7,7,0
0,0,7,4,8
0,0,7,4,4
0,0,7,7,8
9,6,6,7,9
0,9,7,0,0
9,6,6,7,9
9,7,7,5,4
0,6,7,4,1
9,7,7,5,9
0,6,6,4,0
0,0,7,7,8
9,0,7,7,4
0,0,7,4,4
0,0,7,7,8
0,0,7,3,4
0,0,7,3,4
0,7,7,5,9
9,8,6,9,5
9,9,7,8,9
9,0,7,7,8
0,6,7,4,0
0,0,6,3,4
9,7,7,6,9
0,9,7,8,8
0,9,7,2,0
0,0,7,7,4
0,0,7,3,4
9,0,7,7,8
9,9,7,9,9
0,0,7,4,4
0,0,7,4,4
9,7,7,4,4
0,9,7,1,0
0,0,6,3,4
9,6,6,7,9
0,0,7,4,4
0,9,7,2,0
0,9,7,6,4
9,7,7,6,9
9,0,7,7,4
0,0,6,3,4
9,7,7,5,9
9,0,7,7,8
0,0,7,4,8
0,0,6,4,4
0,6,7,4,0
9,0,7,7,9
9,9,7,9,4
9,0,7,7,4
0,9,7,9,7
0,6,7,7,0
0,0,7,7,4
9,6,7,7,9
9,0,6,3,4
0,6,6,7,0
0,0,6,4,4
9,0,7,7,8
0,0,7,4,4
9,6,6,7,9
9,6,7,7,9
0,7,7,0,4
9,0,7,7,4
0,9,7,9,7
0,6,7,7,0
0,0,7,7,8
0,0,6,3,4
0,0,6,3,4
0,0,6,4,4
0,6,6,7,0
0,7,7,0,4
9,0,7,7,4
0,9,7,9,7
0,0,7,7,8
9,7,6,6,9
0,9,7,5,4
0,0,7,4,4
0,0,7,7,8
0,0,7,7,8
0,0,7,7,8
9,0,6,7,9
9,0,7,7,4
9,8,7,2,4
9,0,7,7,4
0,9,7,2,0
9,6,6,7,9
9,7,7,7,5
0,6,6,4,3
0,0,7,4,4
9,0,7,7,4
9,7,7,6,9
0,0,7,4,4
0,0,6,3,4
9,7,7,3,9
0,6,6,4,0
9,0,7,7,4
0,0,6,3,4
0,9,7,0,0
0,0,6,3,4
0,0,6,3,4
0,9,7,9,7
9,0,7,7,8
0,0,7,7,8
0,0,7,3,4
9,7,7,6,9
0,6,7,4,0
0,9,7,4,7
0,9,7,4,4
0,0,6,3,4
0,0,7,7,8
0,9,6,9,4
0,0,7,7,4
9,0,7,7,4
0,0,7,4,4
0,9,7,9,4
9,0,7,7,8
0,9,7,8,7
0,7,7,7,9
9,7,7,6,9
0,0,7,4,4
9,7,7,7,9
9,0,7,7,4
0,0,7,4,4
9,0,6,7,9
0,6,6,4,1
0,9,7,5,7
0,0,7,3,4
9,0,7,7,4
0,9,7,0,0
0,0,7,3,4
0,6,7,7,2
0,0,7,7,8
9,0,7,7,8
0,9,7,4,4
0,0,7,7,8
0,6,6,7,0
0,7,7,3,9
0,0,6,3,4
0,7,7,0,4
9,0,7,7,4
9,8,7,1,4
9,6,6,7,9
0,0,7,4,4
0,9,7,3,0
9,7,7,4,9
0,0,7,4,4
0,0,7,4,4
0,9,7,1,0
0,0,7,4,4
9,0,7,7,8
0,0,7,3,4
9,0,7,7,4
0,6,6,7,0
9,9,7,4,4
0,9,7,9,7
0,7,7,0,9
9,9,7,9,9
0,0,6,3,4
9,7,7,9,5
0,9,7,9,7
0,0,7,4,4
0,0,7,4,4
