member_0,member_1,member_2,member_3,member_4
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
6,0,8,7,0
0,1,2,3,3
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,6
0,9,2,3,6
0,9,2,3,0
0,2,2,3,3
6,9,8,7,6
6,9,8,7,0
7,9,8,7,0
0,9,2,3,6
6,0,8,7,6
0,9,2,3,0
0,9,2,3,0
7,0,8,7,0
6,9,8,7,6
0,9,2,3,0
0,0,2,3,3
6,9,8,7,0
6,0,8,7,6
0,9,2,3,0
7,9,8,7,0
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
6,9,8,7,6
6,0,8,7,6
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
6,9,8,7,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
6,0,8,7,6
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
6,0,8,7,6
0,9,2,3,0
0,9,3,3,3
0,9,2,3,6
6,9,8,7,6
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
6,0,8,7,6
6,9,8,7,6
0,0,2,3,3
0,9,2,3,6
7,9,8,7,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,0,2,3,3
7,9,8,7,0
0,9,2,3,6
0,9,2,3,0
0,3,3,3,3
7,9,8,7,0
7,0,8,7,0
0,9,2,3,6
6,9,8,7,6
0,0,2,3,3
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
0,0,2,3,3
0,9,2,3,6
0,1,2,3,3
0,9,2,3,6
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
0,9,2,3,6
0,6,3,3,3
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,0,2,3,3
6,0,8,7,0
7,0,8,7,0
0,9,2,3,0
0,9,2,3,0
7,0,8,7,0
0,9,2,3,6
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
6,9,8,7,6
0,9,2,3,6
0,9,2,3,0
0,9,3,3,6
0,0,2,3,3
6,0,8,7,6
7,9,8,7,0
0,9,2,3,6
0,9,2,3,6
0,9,2,3,0
0,7,2,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
6,9,8,7,6
7,0,8,7,0
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
0,0,2,3,3
7,9,8,7,0
0,0,2,3,3
0,9,2,3,0
6,0,8,7,0
6,9,8,7,6
7,9,8,7,0
0,9,2,3,6
7,9,8,7,0
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
6,9,8,7,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
7,0,8,7,0
6,0,8,7,6
0,6,2,3,3
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
0,0,2,3,3
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
7,9,8,7,0
0,0,2,3,3
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
0,9,2,3,6
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
0,9,2,3,6
6,9,8,7,6
7,9,8,7,0
7,9,8,7,0
6,0,8,7,6
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
7,9,8,7,0
6,0,8,7,6
7,9,8,7,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
6,9,8,7,0
0,9,2,3,6
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
7,9,8,7,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
7,9,8,7,0
6,6,8,7,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
6,0,8,7,6
0,9,2,3,0
7,9,8,7,0
0,2,3,3,3
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
0,0,2,3,3
7,9,8,7,0
7,9,8,7,0
0,5,3,3,3
7,9,8,7,0
0,1,2,3,3
7,9,8,7,0
6,0,8,7,0
0,9,2,3,0
7,0,8,7,0
0,9,2,3,0
6,9,8,7,0
0,0,2,3,3
0,9,2,3,0
0,0,2,3,3
6,0,8,7,6
0,9,2,3,6
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
0,0,2,3,3
6,9,8,7,6
6,9,8,7,6
6,9,8,7,0
6,9,8,7,6
6,0,8,7,6
6,0,8,7,6
6,9,8,7,6
0,9,2,3,0
0,0,2,3,3
6,9,8,7,6
7,0,8,7,0
6,9,8,7,6
0,0,2,3,3
7,9,8,7,0
0,9,2,3,6
0,9,2,3,0
0,9,2,3,0
6,0,8,7,6
7,9,8,7,0
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
7,0,8,7,0
7,9,8,7,0
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,6
0,7,3,3,3
0,9,3,3,3
7,0,8,7,0
0,9,2,3,0
7,9,8,7,0
6,9,8,7,6
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
7,9,8,7,0
6,9,8,7,0
0,8,3,3,3
0,9,2,3,6
0,0,3,3,3
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
0,9,2,3,0
0,0,2,3,3
6,9,8,7,6
7,9,8,7,0
6,9,8,7,6
7,0,8,7,0
0,0,2,3,3
0,0,2,3,3
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
6,0,8,7,6
6,0,8,7,6
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,3,3,3
0,0,2,3,3
0,5,3,3,3
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
0,0,2,3,3
0,0,2,3,3
0,9,2,3,0
7,9,8,7,0
7,9,8,7,0
7,9,8,7,0
0,9,1,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
0,0,2,3,3
7,9,8,7,0
6,0,8,7,6
0,9,2,3,6
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
7,9,8,7,0
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
7,0,8,7,0
6,2,8,7,6
0,9,2,3,0
7,0,8,7,0
6,0,8,7,6
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
6,9,8,7,0
0,0,2,3,3
6,9,8,7,0
0,1,2,3,3
0,9,2,3,6
7,9,8,7,0
0,0,2,3,3
6,9,8,7,6
6,9,8,7,6
7,9,8,7,0
0,9,2,3,6
0,2,3,3,3
0,9,2,3,0
6,9,8,7,6
0,2,3,3,3
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,2,2,3,3
0,9,3,3,3
0,9,2,3,0
6,0,8,7,6
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
6,5,8,7,6
0,9,2,3,6
6,9,8,7,6
0,0,2,3,3
0,9,2,3,6
6,9,8,7,6
0,0,2,3,6
0,9,2,3,0
7,9,8,7,0
0,8,3,3,3
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
0,0,2,3,3
0,0,2,3,3
0,0,2,3,3
0,9,1,3,0
0,9,2,3,0
6,0,8,7,6
7,9,8,7,0
6,0,8,7,0
0,9,2,3,6
0,9,2,3,6
6,0,8,7,6
0,9,2,3,6
6,9,8,7,6
0,9,2,3,0
7,9,8,7,0
0,9,1,3,0
0,0,2,3,3
6,0,8,7,6
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
0,0,3,3,3
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
0,0,2,3,3
6,9,8,7,6
7,9,8,7,0
6,0,8,7,6
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
0,9,3,3,3
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,6
6,0,8,7,6
0,5,3,3,3
7,9,8,7,0
0,9,2,3,6
0,9,2,3,0
6,9,8,7,6
7,9,8,7,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
6,9,8,7,6
0,0,2,3,3
6,9,8,7,6
0,9,2,3,0
6,0,8,7,6
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
6,0,8,7,6
6,0,8,7,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
7,0,8,7,0
0,9,2,3,0
7,9,8,7,0
0,0,2,3,3
0,9,2,3,0
7,9,8,7,0
7,9,8,7,0
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
6,0,8,7,6
0,9,2,3,6
6,9,8,7,0
0,9,2,3,0
0,2,2,3,3
7,9,8,7,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
0,9,2,3,0
0,9,2,3,0
7,0,8,7,0
6,6,8,7,0
0,9,2,3,0
7,9,8,7,0
0,0,2,3,3
0,5,3,3,3
0,9,2,3,6
7,9,8,7,0
6,9,8,7,6
6,9,8,7,6
0,1,3,3,3
0,1,3,3,3
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
7,0,8,7,0
7,9,8,7,0
7,9,8,7,0
7,9,8,7,0
0,9,2,3,6
6,9,8,7,6
0,0,2,3,3
6,9,8,7,6
0,9,2,3,6
6,9,8,7,6
0,9,2,3,0
6,5,8,7,6
6,9,8,7,6
7,0,8,7,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,0,2,3,3
0,4,2,3,3
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
6,9,8,7,0
0,0,2,3,3
0,0,2,3,3
0,9,2,3,0
0,9,2,3,6
6,9,8,7,6
7,9,8,7,0
0,9,2,3,6
0,9,2,3,0
6,0,8,7,6
6,9,8,7,6
0,0,2,3,3
6,9,8,7,6
6,0,8,7,6
6,9,8,7,6
0,9,2,3,0
6,9,8,7,6
6,9,8,7,6
0,9,2,3,0
0,1,3,3,3
6,9,8,7,6
0,0,2,3,3
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
0,9,2,3,0
0,6,2,3,3
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,8,2,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
7,0,8,7,0
0,9,2,3,6
0,9,2,3,0
7,9,8,7,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,3,2,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,6
6,0,8,7,6
0,0,2,3,3
0,0,3,3,3
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
7,9,8,7,0
6,9,8,7,6
0,9,2,3,0
0,0,2,3,3
6,9,8,7,6
6,9,8,7,6
6,9,8,7,6
0,0,2,3,3
6,9,8,7,6
0,9,2,3,0
7,9,8,7,0
0,0,2,3,3
7,9,8,7,0
0,9,3,3,3
0,9,3,3,6
0,9,2,3,6
6,9,8,7,6
6,9,8,7,6
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
7,9,8,7,0
0,9,2,3,0
6,0,8,7,6
0,9,2,3,0
0,0,2,3,3
7,9,8,7,0
0,9,2,3,6
6,9,8,7,6
6,9,8,7,6
6,9,8,7,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
6,9,8,7,6
0,0,2,3,3
7,9,8,7,0
0,9,2,3,0
6,0,8,7,6
7,9,8,7,0
7,9,8,7,0
0,9,2,3,0
0,9,3,3,6
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
0,5,3,3,3
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
6,9,8,7,6
7,9,8,7,0
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
6,0,8,7,6
0,9,2,3,0
0,9,3,3,3
0,5,2,3,3
7,9,8,7,0
6,0,8,7,6
7,9,8,7,0
0,9,2,3,0
0,9,1,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,0,2,3,3
6,9,8,7,6
0,9,2,3,6
6,0,8,7,6
0,9,2,3,6
7,9,8,7,0
0,9,2,3,0
0,0,2,3,3
6,0,8,7,6
7,0,8,7,0
0,9,3,3,3
0,9,2,3,6
6,9,8,7,6
0,9,2,3,0
0,9,3,3,3
6,9,8,7,6
0,9,2,3,6
0,9,2,3,6
0,9,2,3,0
6,9,8,7,6
0,9,2,3,6
0,9,2,3,0
0,9,3,3,3
0,9,2,3,6
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
0,9,2,3,0
6,9,8,7,0
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
0,9,2,3,6
0,1,2,3,3
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
7,9,8,7,0
6,0,8,7,6
7,9,8,7,0
0,9,2,3,0
0,0,2,3,3
0,9,2,3,0
6,9,8,7,0
7,0,8,7,0
6,9,8,7,6
0,9,2,3,0
6,0,8,7,6
6,0,8,7,6
0,0,2,3,3
6,9,8,7,6
0,9,2,3,0
0,0,2,3,3
0,0,2,3,3
0,0,2,3,3
0,9,2,3,0
7,0,8,7,0
0,9,2,3,0
6,0,8,7,0
7,9,8,7,0
0,9,2,3,0
7,9,8,7,0
7,9,8,7,0
0,9,2,3,0
0,4,3,3,3
0,9,3,3,6
7,9,8,7,0
6,9,8,7,6
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
6,9,8,7,6
6,9,8,7,6
6,0,8,7,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
0,0,2,3,3
0,0,2,3,6
0,9,2,3,6
0,9,3,3,3
7,9,8,7,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
6,9,8,7,6
7,9,8,7,0
0,9,2,3,6
6,9,8,7,0
6,9,8,7,6
6,9,8,7,6
0,9,2,3,6
7,9,8,7,0
6,9,8,7,6
0,9,2,3,0
6,9,8,7,6
7,9,8,7,0
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,2,3,3,3
6,0,8,7,6
0,0,2,3,3
0,0,2,3,3
6,9,8,7,6
0,9,2,3,0
0,9,2,3,0
6,9,8,7,6
0,9,2,3,0
6,9,8,7,6
0,9,2,3,6
0,0,2,3,6
6,9,8,7,6
0,9,2,3,0
7,9,8,7,0
0,9,2,3,6
6,0,8,7,5
0,9,2,3,0
6,0,8,7,6
6,9,8,7,6
0,9,2,3,0
6,9,8,7,6
6,0,8,7,6
0,9,2,3,0
7,9,8,7,0
0,9,2,3,0
0,9,2,3,0
0,9,2,3,6
0,9,2,3,0
